,Spearman_coef
USF1,0.364901058
SDPR,0.347456351
XIST,0.32826599
PIKFYVE,0.323563378
C21orf91,0.31405003
MTRNR2L1,0.312764799
KRT1,0.304245921
PDE4DIP,0.299563595
LINC00997,0.29388811
SPARC,0.291282808
LIN54,0.291265826
WAC-AS1,0.28428626
PLCD4,0.279032116
ATR,0.277024856
ZNFX1,0.272619068
ZBED6,0.271017396
TRPM2,0.27068347
KIAA0232,0.269928678
SYNE2,0.268189072
SAR1B,0.266526824
LEMD3,0.263521025
ZBTB34,0.262923746
WASF3,0.260579605
MDN1,0.257797388
PDGFA,0.253781769
STAP2,0.246926153
C1QL3,0.246619616
NBPF8,0.245408051
ADPRH,0.244318703
CCDC80,0.242335757
HIST1H4C,0.242265601
ZNF737,0.241401534
NAP1L2,0.240588801
PARP9,0.240511303
MX2,0.239064034
PDGFB,0.238584091
SCAND2P,0.237329975
PIK3C3,0.236725187
NEXN,0.235279884
DDX60,0.235215114
DEPDC5,0.231158082
FNDC3A,0.231030288
CHAF1A,0.229689104
LONRF2,0.228819134
ELK3,0.228251666
TIGD1,0.227791249
GDPD5,0.226564611
ADAM17,0.224309343
SLC41A2,0.224210986
OASL,0.223431918
SYNJ2BP,0.22325252
OTUD7B,0.222819572
MITF,0.222214133
DNAJB14,0.221170232
TCF7L2,0.220963555
IKBKE,0.220440328
CPPED1,0.219868617
F13A1,0.219589182
C1R,0.219515666
FAM65C,0.218180925
MGA,0.218103828
DSEL,0.217825809
TCF12,0.217629681
KCNK6,0.217278384
KCTD16,0.216984516
ATXN1,0.216743227
MEGF9,0.216323583
CLU,0.216041018
MFHAS1,0.215926227
NBPF3,0.215866181
AGL,0.215062495
PPAP2A,0.214109186
SRXN1,0.212104462
GCHFR,0.212053692
TNFRSF25,0.212030023
RUNX1,0.211021323
ANKRD28,0.210636311
ARL5A,0.210040296
WDR18,0.209911849
RAB31,0.209807483
SHTN1,0.209523115
PRELID1,0.209482448
CTHRC1,0.209431734
CDHR1,0.208841766
ATP11B,0.208682729
GPRIN3,0.208284481
ANGPT2,0.208172792
CENPB,0.208069679
SLC12A5,0.207443586
MUL1,0.207213317
EBF3,0.206526741
RPTOR,0.206299654
ZNF91,0.205293544
MON2,0.203920743
TMEM38B,0.203845623
ACSL4,0.2031799
RICTOR,0.203034983
MRPS18C,0.202803318
ACAA2,0.202309791
FNIP2,0.202251008
SV2A,0.202114255
ERAP1,0.201787068
ANKRD33B,0.201555882
MTMR9,0.201366387
NCF2,0.201110148
CD84,0.20088403
FAM171B,0.200669817
HIP1,0.199980866
MARVELD1,0.199830407
POLK,0.199515683
ZNF292,0.199393077
PRKDC,0.199264847
NOL3,0.198879546
NACC1,0.198841929
CHD8,0.198347227
FAM129B,0.198307356
TRAPPC9,0.198083504
FABP3,0.197389925
CHD9,0.197255154
G2E3,0.196562564
DOLK,0.196508434
HEATR1,0.196465022
MAP7D2,0.196245861
DENND2C,0.196118777
TP53I11,0.195473844
JUN,0.194605266
NCAPD3,0.194392568
CXCL5,0.194355846
SMG6,0.194096373
STXBP5,0.193887251
BMP1,0.193253174
SH2D3C,0.19318919
CCDC176,0.193113493
GRAMD1C,0.192673476
HLA-F,0.192627302
NXT2,0.192145021
CDH4,0.191894934
ATAD2B,0.191870207
LCLAT1,0.191687107
RAB12,0.19166045
GBP4,0.191446918
SOS2,0.191259855
TBC1D16,0.190871082
IQCA1,0.190191258
TET2,0.1899913
IFIT3,0.189766207
LPGAT1,0.189688672
SNORD3A,0.189213093
ACER2,0.189120621
L3MBTL3,0.189052184
MAP3K14,0.188958742
CDK11B,0.188375567
MET,0.188233003
UGT8,0.188087809
PEX13,0.187981306
EXOC6B,0.187271553
SBNO2,0.187259053
ADAT1,0.187109223
PHC2,0.186894119
CTAGE5,0.186638155
CABP4,0.186247441
MED22,0.186198289
KLHL4,0.186176799
STK36,0.185982865
FECH,0.185400802
LPIN2,0.185378842
MAP2,0.185358023
ITPKB,0.185171923
NLRP2,0.184911776
PARP14,0.184802736
CORO2A,0.184551391
STARD13,0.18439298
GPATCH8,0.184388781
IFIT2,0.184139326
NUTM2B-AS1,0.183955444
LINC00950,0.183602863
UBA6,0.182693701
CEP85L,0.182511411
THEMIS2,0.182302375
PPIP5K1,0.182177469
TAPBP,0.181905079
C4orf32,0.181221546
JMJD1C,0.180831873
TNFAIP8L1,0.180730317
OTUD4,0.180193989
CYP2U1,0.180022483
FAM171A1,0.17991595
KDM7A,0.179731156
CAMKV,0.179495037
GSK3B,0.179440684
DCAKD,0.179425091
GIGYF2,0.17883987
TMEM180,0.178638787
EAF1,0.1786281
EIF5A,0.178452732
ULK4,0.178269117
TMEM56,0.178251497
CASQ1,0.178173318
CALCA,0.177926892
EPS15,0.177807848
SPAG9,0.17772097
ETFA,0.177630742
ZNF707,0.17762435
FBXO22,0.177579847
HIF1AN,0.176800721
ASH1L,0.176633005
CD300LG,0.176398552
HIVEP1,0.176314494
HLA-DOA,0.176043872
KIAA0922,0.17590938
CCNT2,0.175859847
SPEN,0.175578873
GNG11,0.175577862
RGS12,0.175574079
C16orf62,0.174977751
PWWP2A,0.174935657
GAB2,0.174815985
PTGER3,0.174809683
CXCL14,0.174662605
ZNF71,0.174507315
PPTC7,0.174357726
ARFGEF1,0.174345818
ACO1,0.174290375
IPO8,0.174125602
ATG2B,0.1739364
ZCCHC4,0.173829949
PARD6B,0.173800778
SMURF1,0.173740363
MINPP1,0.17368243
AMFR,0.173612264
STAT3,0.173446541
AGGF1,0.173345819
PREPL,0.173317584
TACC1,0.173309623
CHEK1,0.173220136
SMC1A,0.17320063
TNKS2,0.172518637
NCKAP1L,0.172473382
HIVEP2,0.17237657
KIAA0319L,0.172219468
SLC35E3,0.172040933
CCL2,0.172015364
AGPAT3,0.171728473
THRSP,0.171718449
HSPA12A,0.17151024
PCBD1,0.171241246
ABCA10,0.171189702
SLC12A7,0.171047775
ZNF449,0.170816338
SYNGR3,0.170224881
ZNF451,0.170060798
C16orf45,0.169999208
SCN8A,0.169884224
HBD,0.169692462
MOSPD2,0.169505901
ANGPTL7,0.169295561
MSMB,0.169282793
DDX42,0.169268866
CHURC1,0.16810031
TP53BP1,0.168068429
STOML1,0.168051123
ZBTB38,0.168039934
DONSON,0.167658686
FNDC3B,0.167579606
KIAA0100,0.167543593
HLA-DQB2,0.167516544
CXorf57,0.167449115
ZNF362,0.167410197
CYP3A5,0.167327124
COL10A1,0.167200664
EHMT1,0.167098599
MED13L,0.166397185
ZNF576,0.166383305
IFIH1,0.166092003
FAR2,0.165957388
GBP3,0.1659174
LTN1,0.165898759
RNF103,0.165696964
TLR3,0.165683198
TEP1,0.16565669
DDHD1,0.165492089
FEM1A,0.165484126
TNC,0.165417858
ZNF326,0.165331493
WDR91,0.165207627
ARHGAP6,0.165160727
ZNF782,0.165095911
KCNB1,0.164691903
C2orf40,0.164612342
FARP1,0.164548943
DAPK3,0.164374454
LOC284023,0.164334963
CENPH,0.164199729
TRIM33,0.164028628
USP33,0.16400462
TMOD3,0.163907156
RSF1,0.16387042
KDM6A,0.163540184
ZNF687,0.163425921
RC3H1,0.163414698
TMEM99,0.163189675
LZTS1,0.162942783
EP300,0.162910277
SMG7,0.162486558
ARHGAP5,0.162352987
CTDSPL,0.162335026
NAV3,0.162229593
PIGZ,0.162186103
RNF215,0.162184905
CABP1,0.162159509
PKD2,0.162110611
ATG7,0.161853469
BZRAP1,0.161792003
LNPEP,0.161631261
KANK1,0.161389182
ANKRD11,0.161373729
SLC41A1,0.161350649
DNAJC18,0.16114986
PSPH,0.161043479
MAN1A1,0.161039391
CLDN10,0.160891596
LRRC4C,0.160891596
ATG4D,0.160624652
WHSC1,0.160457075
CRYBB2P1,0.160241013
ASIC1,0.160185518
MCM9,0.160042712
DENND2A,0.160018918
ESPL1,0.159978092
DEXI,0.159922159
ITSN2,0.159902471
NEDD9,0.159836577
TULP1,0.159797095
NANP,0.159743949
ZNF557,0.159558717
NGEF,0.159338904
FOXO4,0.159307511
USP3,0.159133655
SCIN,0.159110035
MAPK3,0.159075255
MAPK1,0.159032834
TM9SF1,0.158913815
CPT1A,0.158848667
GPX7,0.158820492
APC,0.15881355
TRIM41,0.158629495
EGR3,0.158533496
EPHA2,0.158292453
GPD1,0.15822608
NOC4L,0.158215556
CASP8,0.158174107
SMG1,0.157894033
RANBP6,0.15779114
KAT6A,0.157777649
SRF,0.157717549
MBNL3,0.157568766
POF1B,0.157493494
HEXB,0.157320389
LDOC1L,0.157096016
STAT2,0.156957928
ZNF436,0.156869109
ZNF641,0.156730729
PRPF40B,0.156524834
PJA2,0.156366452
TMEM43,0.156345997
TBC1D31,0.156330037
LCMT2,0.156313168
CD58,0.156284212
USP37,0.156259528
SESTD1,0.156147673
CMTM8,0.156129884
NPR3,0.156115702
ST18,0.156093645
JAK3,0.156080455
TMEM108,0.156076966
FNBP4,0.155788652
SIRPB1,0.155772817
TADA2B,0.155630041
INO80D,0.155506628
2-Mar,0.155485328
IBTK,0.154949213
BTN2A2,0.15491997
PNMA2,0.154871842
TMEM131,0.154799303
SETX,0.15479384
MIA3,0.154764847
MPZL1,0.154759059
LY6H,0.15472602
TMEM62,0.154613864
SMARCC2,0.154561939
SLC9A8,0.15455499
KLHDC10,0.154354817
KIAA0355,0.154141461
IL1R1,0.153931076
MDC1,0.153831805
SLC30A10,0.15376583
TDGF1,0.15371478
ZBTB7A,0.153693972
CCSER1,0.153633482
IFT81,0.153567598
FAM73A,0.153447367
TMF1,0.153380777
CRYBG3,0.153257434
ZZEF1,0.153212786
IPPK,0.153191109
CPOX,0.153174726
GPR22,0.152978003
STAT1,0.152902877
TTLL7,0.152858139
MB21D2,0.152834374
SLF1,0.152770645
TMEM30A,0.152747383
GEMIN5,0.152601429
UBR2,0.15255284
EFCAB7,0.152498549
VWA5B2,0.152476583
VCL,0.152424589
ZNF697,0.152404168
WDFY2,0.152392766
ARHGAP19,0.15235984
PCGF3,0.152292248
MNDA,0.152253633
SAMSN1,0.152141209
PROSER1,0.152103372
RPRD1B,0.152098925
AFG3L1P,0.152076679
C8orf46,0.152015031
TAF3,0.152003129
IL17RA,0.151910969
SAMD5,0.151876754
AKR7A3,0.151871195
STARD10,0.151844775
MIER3,0.151816253
NHLRC2,0.15180109
GALNT16,0.151592205
B3GALNT1,0.151540834
SENP1,0.151528199
FRMD3,0.1515006
HMGCL,0.15148231
ZCCHC6,0.1513428
TIFA,0.151201151
ITPR2,0.151153662
SPRYD7,0.151113674
DGCR2,0.151106497
CPA1,0.150987601
MNAT1,0.150941639
CAMSAP2,0.150936189
ZFP41,0.150889832
XPO5,0.150713779
CTSL,0.150624453
ZNF805,0.150509536
RASL10B,0.150315266
TCEAL4,0.150260049
GRIPAP1,0.150190538
VPS13A,0.149752275
CAMTA2,0.149733458
CASP7,0.149670673
CCDC47,0.149651076
ZNF117,0.149649299
KLHL5,0.149325917
TAF4,0.149271911
FGGY,0.149159076
CDYL,0.149142721
GATAD2A,0.149035972
TMEM173,0.148923366
TMEM87B,0.148826395
KDELC2,0.148668956
TRAFD1,0.148609633
DNAJC6,0.148598301
TOPBP1,0.148523001
ZNF493,0.148480043
COL4A4,0.148449346
PTBP3,0.148435254
DYNC1H1,0.148386152
LOC100288152,0.148253892
TUBA4B,0.148177965
PLEKHG1,0.148105102
NADK,0.14804271
SPRED1,0.147969456
NRGN,0.14794202
ZNF821,0.14792094
DPYSL3,0.147896814
CLSTN1,0.147840379
TRANK1,0.147787289
DENND1B,0.147787038
MIEF1,0.147777119
ITGB5,0.147676036
DVL2,0.147462114
TYW1,0.147421225
SSR1,0.147380557
NPAS2,0.147237958
TMX3,0.147224787
NREP,0.14710151
LRRC8B,0.146985372
RGMA,0.146906215
NIPA1,0.146814282
LOC101927069,0.146505289
RASA1,0.146456393
DNAJB5,0.146342889
CCDC126,0.146010251
SIX3,0.145985575
ITCH,0.145915921
FBLN7,0.145875712
BCOR,0.145847783
UBASH3B,0.145770217
SET,0.145476546
B3GNT3,0.145459338
GEMIN6,0.14543611
TCERG1,0.145420322
TRPC1,0.145248424
ZNF502,0.145205789
TCP11L2,0.145117678
RNF165,0.145072389
TIRAP,0.145027867
CASP8AP2,0.144961829
GOLGB1,0.144675587
ABCB1,0.14464642
BANP,0.144574931
COPS7B,0.144328019
GRPEL2,0.14424775
GNB4,0.144099602
CCDC17,0.144050652
CAB39L,0.143985085
PLD3,0.143859091
COL11A1,0.143855523
ATL1,0.143854088
ANKIB1,0.143826156
TMEM229B,0.143806305
PLA2G4C,0.143803807
CABIN1,0.143633094
CFAP45,0.14360007
DOK6,0.143186901
HLA-DPB1,0.143114857
PLCB3,0.142819243
TMEM198,0.142812742
ASCC3,0.142803326
RAB9B,0.14278251
PPFIA3,0.142780479
CXXC4,0.142736399
TMEM161B,0.142510511
TMTC4,0.142492243
FUT3,0.142348657
DTX3L,0.142258146
LAMB3,0.142166711
APP,0.142023361
RGS9,0.141914801
AP1M2,0.141832631
CHD1,0.14176615
EIF4G1,0.141739959
PHLDB2,0.141656092
IL18BP,0.141655155
CYB5D1,0.141635434
SUPT16H,0.141488037
GOLGA2P5,0.141430483
INADL,0.14138117
BRAF,0.14129579
PRR14L,0.141253033
FAM91A1,0.141205169
ATAD5,0.141183327
RNA45S5,0.141136578
CDC42BPB,0.141118706
APOL2,0.141078832
TNNT1,0.141036411
LOC103344931,0.140981103
GOSR1,0.140971704
SLC39A9,0.140834973
TPP1,0.140589557
CERS4,0.140511094
ASPHD2,0.140507035
ZNF770,0.140462098
ELFN2,0.140319793
WRN,0.140300924
TOPORS,0.140208864
CD2,0.140138241
COL7A1,0.140100658
UMAD1,0.139740934
RABEPK,0.139690209
SMO,0.139588975
PCED1B,0.139553777
TCF19,0.139538418
ITGB8,0.139522337
THRAP3,0.139498487
TMEM177,0.139381176
PDIA5,0.139097973
PPP1R18,0.139009124
PATL1,0.138946816
ABCA5,0.138946597
SLC4A1AP,0.138835941
MIR6723,0.138764902
ELMO3,0.138754091
FAM89A,0.138684008
ZNF569,0.138525097
CREB3L1,0.138472983
RTTN,0.138450339
LINC-PINT,0.138415123
SIPA1L3,0.13834938
MIB1,0.138284135
CHN1,0.138236499
ZW10,0.13817774
S1PR2,0.138088078
NPPB,0.138078227
BTAF1,0.138068323
USO1,0.138057695
10-Sep,0.13803175
ZBTB45,0.137972506
CNRIP1,0.137908169
NRL,0.137851275
KIAA1715,0.137841278
TAF2,0.137714403
TOM1L1,0.137701065
MTF1,0.13768065
KRAS,0.137621366
RBSN,0.137531656
BICD2,0.137530999
UBE2Z,0.137434535
P3H3,0.137433112
ERICH1,0.137373651
PRICKLE4,0.137122094
SV2C,0.137043981
PIK3CG,0.137037832
ZDHHC17,0.137022884
SPATA13,0.136963484
MMS19,0.136947315
SKIL,0.1368998
CHD2,0.136795523
TMEM44,0.136761641
COL12A1,0.136689211
